Range,Azimuth,Polar
  0.5820,  0.0000, 33.9750,256 
  0.5820,  0.0000, 34.2000,256 
  0.5938,  0.0000, 34.4250,256 
  0.5469,  0.0000, 34.6500,256 
  0.5742,  0.0000, 34.8750,256 
  0.5313,  0.0000, 35.1000,256 
  0.5508,  0.0000, 35.3250,256 
  0.5313,  0.0000, 35.5500,256 
  0.5313,  0.0000, 35.7750,256 
  0.5313,  0.0000, 36.0000,256 
  0.5313,  0.0000, 36.2250,256 
  0.5273,  0.0000, 36.4500,256 
  0.5078,  0.0000, 36.6750,256 
  0.5273,  0.0000, 36.9000,256 
  0.5078,  0.0000, 37.1250,256 
  0.5273,  0.0000, 37.3500,256 
  0.5000,  0.0000, 37.5750,256 
  0.4805,  0.0000, 37.8000,256 
  0.4805,  0.0000, 38.0250,256 
  0.4805,  0.0000, 38.2500,256 
  0.4805,  0.0000, 38.4750,256 
  0.5078,  0.0000, 38.7000,256 
  0.4531,  0.0000, 38.9250,256 
  0.4570,  0.0000, 39.1500,256 
  0.4570,  0.0000, 39.3750,256 
  0.4688,  0.0000, 39.6000,256 
  0.4727,  0.0000, 39.8250,256 
  0.4961,  0.0000, 40.0500,256 
  0.4727,  0.0000, 40.2750,256 
  0.4531,  0.0000, 40.5000,256 
  0.4727,  0.0000, 40.7250,256 
  0.4258,  0.0000, 40.9500,256 
  0.4453,  0.0000, 41.1750,256 
  0.4531,  0.0000, 41.4000,256 
  0.4531,  0.0000, 41.6250,256 
  0.4531,  0.0000, 41.8500,256 
  0.4453,  0.0000, 42.0750,256 
  0.4453,  0.0000, 42.3000,256 
  0.4258,  0.0000, 42.5250,256 
  0.4258,  0.0000, 42.7500,256 
  0.4258,  0.0000, 42.9750,256 
  0.4258,  0.0000, 43.2000,256 
  0.4258,  0.0000, 43.4250,256 
  0.4258,  0.0000, 43.6500,256 
  0.4258,  0.0000, 43.8750,256 
  0.4258,  0.0000, 44.1000,256 
  0.4297,  0.0000, 44.3250,256 
  0.4297,  0.0000, 44.5500,256 
  0.4063,  0.0000, 44.7750,256 
  0.4531,  0.0000, 45.0000,256 
  0.4336,  0.0000, 45.2250,256 
